+----+----------------------+
|year|count(DISTINCT Ticker)|
+----+----------------------+
|2000|                   391|
|2001|                   418|
|2002|                   442|
|2003|                   489|
|2004|                   550|
|2005|                   614|
|2006|                   683|
|2007|                   797|
|2008|                   831|
|2009|                   849|
|2010|                   891|
|2011|                   964|
|2012|                   987|
|2013|                  1025|
|2014|                  1072|
|2015|                  1120|
|2016|                  1173|
|2017|                  1242|
|2018|                  1317|
|2019|                  1351|
|2020|                  1422|
|2021|                  1604|
|2022|                  1702|
|2023|                  1762|
|2024|                  1826|
|2025|                  1829|
+----+----------------------+

None
